dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
jena_weather/10T/long,TimesFM-3,1400.8646825396825,1400.8646825396825,9.331707795965608,0.606484651811004,0.7099041806514798,0.5839016308462677,5.534661946885168,37.428126890611054,0.22902912629949243,0.05710232012514353,0.046198574062434924,Nature,21
jena_weather/D/short,TimesFM-3,369.32247023809526,369.32247023809526,9.536245969742064,1.023061073130709,0.6171951423038282,0.44715493822854663,6.782696744677649,19.21776444433887,0.11572235193447516,0.057423787009175005,0.04501769113566597,Nature,21
jena_weather/H/short,TimesFM-3,1070.1210970133668,1070.1210970133668,8.148845726784408,0.5136799494087309,1.4297481160440377,0.5047979431340608,4.2848490641536285,32.71270543708311,0.20052678841826452,0.049951902206645506,0.04048313628581462,Nature,21
jena_weather/H/medium,TimesFM-3,1235.8469246031746,1235.8469246031746,9.911161489335317,0.7577705715757325,2.2363037153595364,0.5691585956416465,6.241433533910286,35.154614556316425,0.21511730492610864,0.060648150326261245,0.048827429949230894,Nature,21
jena_weather/H/long,TimesFM-3,1271.3087301587302,1271.3087301587302,10.554099495701058,0.8101572053808211,2.1585688834609185,0.563114534868581,6.366600456138088,35.65541656128463,0.21468513262332717,0.06354737844837387,0.05158763450052226,Nature,21
kdd_cup_2018/D/short,TimesFM-3,2924.1873576617463,2924.1873576617463,21.201646032814683,1.1936617459637027,0.5292277929353083,0.4657358904770773,9.296051679347812,54.07575572899325,1.2113543667760842,0.4749393912015337,0.37711275167348596,Nature,1
kdd_cup_2018/H/short,TimesFM-3,4287.582431914319,4287.582431914319,22.057724004179043,0.9259672249955985,0.8064361629722895,0.4942834225937018,7.408968090642186,65.47963371854121,1.370607319674021,0.4617081107299555,0.3693256182267981,Nature,1
kdd_cup_2018/H/medium,TimesFM-3,5343.732481910371,5343.732481910371,25.49504523504452,1.0431895192421787,0.8725203553345684,0.5629686015613687,8.608251802507088,73.10083776476417,1.5301329305933513,0.5336574719792417,0.427740906595264,Nature,1
kdd_cup_2018/H/long,TimesFM-3,4030.227852690106,4030.227852690106,23.284416268506746,0.9918069949808022,0.9699417673569398,0.5954184342107866,7.586857519574525,63.484075583488696,1.4895929584321297,0.5463465002204595,0.43286848763851743,Nature,1
m4_daily/D/short,TimesFM-3,351796.0281819257,351796.0281819257,173.13979651102923,3.2500469373306005,0.03659857726801348,0.030212618438537373,26.057286212730443,593.1239568436987,0.09162125921249603,0.026745313510100135,0.021095465289838952,Econ/Fin,1
m4_hourly/H/short,TimesFM-3,1303496.0663316299,1303496.0663316299,197.7732605650037,0.6937364295322749,0.08747793606897868,0.0798346247649999,5.516100030039902,1141.707522236597,0.15586829807385483,0.02700041904637284,0.021194311919734015,Econ/Fin,1
m4_monthly/M/short,TimesFM-3,1845969.7804375,1845969.7804375,556.7865344645182,0.9294275676008447,0.15833323170079125,0.13856117295998113,7.702682423791267,1358.6647049355113,0.2823771674667306,0.11571935586062819,0.09248734912839486,Econ/Fin,1
m4_quarterly/Q/short,TimesFM-3,1773509.2557604166,1773509.2557604166,553.3237860209147,1.1566781839115103,0.11237144634624323,0.10121581971645355,9.107354154799484,1331.731675586496,0.22290843124179005,0.09261665797381496,0.07418681747703945,Econ/Fin,1
m4_weekly/W/short,TimesFM-3,252185.89757874436,252185.89757874436,244.82756923612598,1.8611628847081532,0.05838625973083745,0.05845553813155366,13.555115320846738,502.18114020614547,0.09148961368479465,0.044603785238939105,0.03552740684351589,Econ/Fin,1
m4_yearly/A/short,TimesFM-3,3503625.604255535,3503625.604255535,857.894749737475,3.146280804058362,0.16381599095648045,0.14489562345884283,34.942312513757486,1871.7974260735416,0.3001513921241342,0.1375673990373208,0.11366355208302001,Econ/Fin,1
restaurant/D/short,TimesFM-3,138.0918981157187,138.0918981157187,7.063705494215233,0.6776600106881984,0.6671447183857159,0.3910934734691856,4.587068805312163,11.751250917060647,0.5408197945779389,0.32508809328497346,0.2541698324694061,Sales,1
saugeen/D/short,TimesFM-3,1102.6192708333333,1102.6192708333333,12.301183268229167,2.7331118492478894,0.27104970296223957,0.31120330810546876,24.969784269263705,33.2057114188709,1.0755409046299527,0.39843825700452085,0.32110692113730854,Nature,1
saugeen/M/short,TimesFM-3,381.7592075892857,381.7592075892857,12.111094156901041,0.7096641962765166,0.3368700799487886,0.3455102330162412,4.476485860093555,19.53865930890054,0.5866091678821296,0.3636113795323461,0.28452070674190133,Nature,1
saugeen/W/short,TimesFM-3,930.2939453125,930.2939453125,14.499453735351562,1.1761591493091477,0.35410854816436765,0.3767219066619873,10.026274569959046,30.50072040645106,0.9206896075902594,0.4376780676646071,0.35002236809028986,Nature,1
solar/10T/short,TimesFM-3,22.424532479613365,22.424532479613365,2.0268126104869983,0.8940119860565149,5.554944391906144,1.326013345008826,3.7197859324686116,4.7354548334466635,1.3775432699646648,0.5895995568019654,0.4391923309215235,Energy,1
solar/10T/medium,TimesFM-3,23.572586912118446,23.572586912118446,1.864665258956467,0.8149286611370575,4.2311984947668355,0.9869431869922652,4.040383733121362,4.85516085337226,1.0773794696795576,0.4137766241934191,0.31941202040447386,Energy,1
solar/10T/long,TimesFM-3,22.98673197675892,22.98673197675892,1.8541096064682812,0.8113686611184681,4.096145443291947,1.0208601646922455,4.240259518009875,4.794448036714854,1.036243257017053,0.4007361353716485,0.30997765193713234,Energy,1
solar/D/short,TimesFM-3,124022.03454987834,124022.03454987834,250.00811853710462,0.9756301679266124,1.0722122303760835,0.4247736612955729,5.453757911743936,352.1676228018106,0.5087622930574361,0.36117659726344015,0.27196829499332026,Energy,1
solar/H/short,TimesFM-3,703.0875607272058,703.0875607272058,11.206749420615436,0.8655165620201437,4.8423208796648165,1.0254572293349982,5.102001151287127,26.51579832339969,0.9773811551759106,0.4130845151594788,0.320115732073446,Energy,1
solar/H/medium,TimesFM-3,778.5283302919707,778.5283302919707,11.327637253364507,0.8657092560630664,5.590692408803822,0.9455538699642154,5.3476276744695825,27.902120533966066,1.0050994968987113,0.4080479292083905,0.3244878808388486,Energy,1
solar/H/long,TimesFM-3,772.0972070154096,772.0972070154096,11.985871287003244,0.912186199471791,6.8909724515207245,0.9250377295979134,5.296315350106757,27.786637202356992,0.9634134890849045,0.4155720604922596,0.32220150069793496,Energy,1
solar/W/short,TimesFM-3,1611958.4671532847,1611958.4671532847,1017.3024599395529,1.1114785425913638,0.22833672579187547,0.1988646540328534,6.913080725388728,1269.6292636645096,0.25916307501208313,0.20765686589038637,0.14948614456064846,Energy,1
temperature_rain/D/short,TimesFM-3,185.07868393305628,185.07868393305628,5.749642490916847,1.3355575716936554,17.242996176801217,1.4501468507379338,18.908336964271832,13.604362680149933,1.6015931752482413,0.676884936844997,0.5467092586702655,Nature,1
us_births/D/short,TimesFM-3,129461.93333333333,129461.93333333333,213.01416666666665,0.3136780931082867,0.020787493387858073,0.020417893727620443,3.171246257437567,359.8081896418331,0.03372909810386724,0.019968349614736473,0.016241273063096917,Healthcare,1
us_births/M/short,TimesFM-3,33800176.0,33800176.0,4921.490885416667,0.5555901329098588,0.015177149325609207,0.01532135158777237,4.02028732710459,5813.791877939904,0.018057597934949078,0.01528611713580321,0.011323897796977992,Healthcare,1
us_births/W/short,TimesFM-3,2054356.0,2054356.0,1094.8754185267858,0.995401940900318,0.014840801911694663,0.014852947422436305,6.542107784285823,1433.3024802880932,0.019456940628259364,0.014862826449120783,0.011643831026879384,Healthcare,1
